Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Series;Publisher;Manual Tags;Included;Main Exclusion Reason
conferencePaper;2023;"Hughes, Jack; Caines, Andrew; Hutchings, Alice";Argot as a Trust Signal: Slang, Jargon & Reputation on a Large Cybercrime Forum;;;;;https://www.semanticscholar.org/paper/Argot-as-a-Trust-Signal%3A-Slang%2C-Jargon-%26-Reputation-Hughes-Caines/ad250884e858b57daf33ff52c3ed253c709327da;We apply signalling theory to a cybercrime forum to explore how argot (slang and jargon) is used to signal trust in untrustworthy environments. We develop an argot detection tool, using word embeddings from forum and non-forum datasets, which are aligned using training annotations. Compared with prior work, our approach improves performance, with an increase in the F1 and accuracy scores. Using the detected argot to create per-user variables, we find a negative correlation between the use of argot and reputation votes. We explore the trajectories of groups of forum members to observe how the use of argot and user reputation in the forum varies over time. Our findings indicate forum users are using argot to overcome the cold start problem, a conundrum faced by new users to social networks with ranking systems and marketplaces with feedback systems. A significant group of long-standing users is characterised by high levels of argot in their early forum postings. This decreases once reputation metrics increase. This particular trajectory group are amongst the highest-rated long-term members.;2023;;;;x;
journalArticle;2024;"Valeros, Veronica; Širokova, Anna; Catania, Carlos; Garcia, Sebastian";Towards Better Understanding of Cybercrime: The Role of Fine-Tuned LLMs in Translation;"2024 IEEE European Symposium on Security and Privacy Workshops (EuroS&amp;PW)";;;10.1109/EuroSPW61312.2024.00017;https://ieeexplore.ieee.org/document/10628591/;Understanding cybercrime communications is paramount for cybersecurity defence. This often involves translating communications into English for processing, interpreting, and generating timely intelligence. The problem is that translation is hard. Human translation is slow, expensive, and scarce. Machine translation is inaccurate and biased. We propose using fine-tuned Large Language Models (LLM) to generate translations that can accurately capture the nuances of cybercrime language. We apply our technique to public chats from the NoName057(16) Russian-speaking hacktivist group. Our results show that our fine-tuned LLM model is better, faster, more accurate, and able to capture nuances of the language. Our method shows it is possible to achieve high-fidelity translations and significantly reduce costs by a factor ranging from 430 to 23,000 compared to a human translator.;08.07.2024;;IEEE;;;No Jargon
journalArticle;2024;"Shin, Gun-Yoon; Jang, Younghoan; Kim, Dong-Wook; Park, Sungjin; Park, A-Ran; Kim, Younghwan; Han, Myung-Mook";Dark Side of the Web: Dark Web Classification Based on TextCNN and Topic Modeling Weight;IEEE Access;;2169-3536;10.1109/ACCESS.2023.3347737;https://ieeexplore.ieee.org/document/10375503/;The Dark Web is an internet domain that ensures user anonymity and has increasingly become a focal point for illegal activities and a repository for information on cyberattacks owing to the challenges in tracking its users. This study examined the classification of the Dark Web in relation to these cyber threats. We processed Dark Web texts to extract vector types suitable for machine learning classification. Traditional methods utilizing the entirety of Dark Web texts to generate features result in vectors including all words found on the Dark Web. However, this approach incorporates extraneous information in the vectors, diminishing learning effectiveness and extending processing duration. The research aimed to optimize the classification process by selectively focusing on keywords within each class, thereby curtailing word vector dimensions. This optimization was facilitated by leveraging the anonymity characteristic of the Dark Web and employing topic-modeling-based weight generation. These methods enabled the creation of word vectors with a constrained feature set, enhancing the distinction of Dark Web classes. To further improve classification performance, we integrated TextCNN with topic modeling weights. For validation, we employed two datasets and compared the performance of the model with other text classification algorithms, where the proposed model demonstrated superior effectiveness in Dark Web classification.;2024;;;;;No Jargon
journalArticle;2024;"Chen, Hongfan; Diao, Yigang; Xiang, Hui; Huo, Yixuan; Xie, Xiaqing; Zhao, Jiapeng; Wang, Xuebin; Sun, Yanwei; Shi, Jinqiao";Decode the Dark Side of the Language: Applications of LLMs in the Dark Web;2024 IEEE 9th International Conference on Data Science in Cyberspace (DSC);;;10.1109/DSC63484.2024.00037;https://ieeexplore.ieee.org/document/10858984/;Previous studies have discovered that Transformers pre-trained on large scale datasets have a great advantage over traditional methods and can achieve human-level performance in many NLP tasks. Various encoder-only models like BERT and RoBERTa are used in the researches of the language in the Dark Web and most of them have achieved state-of-the-art performance. However, decoder-only models are not frequently used as they were considered to be unsuitable for NLU tasks until recent advancements in large language models. In this paper, we discuss the application of large scale decoder-only models in NLP tasks of real-world Dark Web research. We explore the capabilities of these models with the most realistic datasets in this specific domain. Surprisingly, results show that decoder-only models can achieve similar or better performance compared with state-of-the-art encoder-only model in some cases and show their own unique advantages in such field. We also discuss the limitations of these models and the challenges associated with their application in such field. Our study unveils the potential of decoder-only models in NLP tasks of real-world Dark Web research.;23.08.2024;;IEEE;;;No Jargon
journalArticle;2025;"Farouk, Suleiman; Umar, Aliyu; Silas, Faki; Bala, Usman; Lawan, Adamu; Abdulkadir, Abdullahi";Unveiling the Dark Web: Enhancing Machine Learning Models for Deciphering Illicit Communication Patterns;International Journal of Information and Communication Sciences;;2575-1719, 2575-1700;10.11648/j.ijics.20251002.11;https://www.sciencepublishinggroup.com/article/10.11648/j.ijics.20251002.11;"The dark web, an obscured and encrypted segment of the internet, serves as a nexus for illicit activities and underground communities, presenting substantial challenges for law enforcement and cybersecurity professionals. This paper explains the linguistic patterns and communication dynamics within the dark web by using the Random Forest classifier model. The Random Forest Classifier, selected for its proficiency in managing high-dimensional and noisy data, is utilized to classify and decode the cryptic language prevalent on the dark web. The model demonstrates a high accuracy of 98%, complemented by strong precision, recall, and F1-score metrics. These findings underscore the model&apos;s efficacy in identifying significant linguistic patterns and offer valuable insights into the communication mechanisms within dark web communities. Despite the promising results, this study acknowledges data quality and generalizability limitations, proposing avenues for future research to enhance model robustness and address ethical considerations in dark web analytics. This work contributes to the ongoing efforts to understand and mitigate illicit activities on the dark web through the application of machine learning and linguistic analysis.";18.06.2025;;;;;No Jargon
journalArticle;2025;"Shah, Sayuj; Madisetti, Vijay K.";MAD-CTI: Cyber Threat Intelligence Analysis of the Dark Web Using a Multi-Agent Framework;IEEE Access;;2169-3536;10.1109/ACCESS.2025.3547172;https://ieeexplore.ieee.org/document/10908603/;The dark web is a host to illicit activities where hacker forums, blogs, and articles provide significant insights into Cyber Threat Intelligence (CTI) that are frequently unavailable on the surface web. The increasing incidence of security breaches underscores the necessity for advanced CTI solutions to defend against emerging threats. This paper introduces MAD-CTI, a novel multi-agent framework based on Large Language Models (LLM) designed to extract insights from dark web sources. It independently scrapes, analyzes, and classifies content related to vulnerabilities, malware, and hacking, by leveraging a multi-agent architecture to improve efficiency, scalability, and consistency. By utilizing state-of-the-art LLM models and agents, we demonstrate how organizations can adopt this methodology to enhance the accuracy and efficiency of CTI.;2025;;;;;No Jargon
journalArticle;2024;"Kim, Yongyeon; On, Byung-Won; Lee, Ingyu";Two-step Automated Cybercrime Coded Word Detection using Multi-level Representation Learning;;;;10.48550/ARXIV.2403.10838;https://arxiv.org/abs/2403.10838;In social network service platforms, crime suspects are likely to use cybercrime coded words for communication by adding criminal meanings to existing words or replacing them with similar words. For instance, the word 'ice' is often used to mean methamphetamine in drug crimes. To analyze the nature of cybercrime and the behavior of criminals, quickly detecting such words and further understanding their meaning are critical. In the automated cybercrime coded word detection problem, it is difficult to collect a sufficient amount of training data for supervised learning and to directly apply language models that utilize context information to better understand natural language. To overcome these limitations, we propose a new two-step approach, in which a mean latent vector is constructed for each cybercrime through one of five different AutoEncoder models in the first step, and cybercrime coded words are detected based on multi-level latent representations in the second step. Moreover, to deeply understand cybercrime coded words detected through the two-step approach, we propose three novel methods: (1) Detection of new words recently coined, (2) Detection of words frequently appeared in both drug and sex crimes, and (3) Automatic generation of word taxonomy. According to our experimental results, among various AutoEncoder models, the stacked AutoEncoder model shows the best performance. Additionally, the F1-score of the two-step approach is 0.991, which is higher than 0.987 and 0.903 of the existing dark-GloVe and dark-BERT models. By analyzing the experimental results of the three proposed methods, we can gain a deeper understanding of drug and sex crimes.;2024;;arXiv;;x;
journalArticle;2019;"Choshen, Leshem; Eldad, Dan; Hershcovich, Daniel; Sulem, Elior; Abend, Omri";The Language of Legal and Illegal Activity on the Darknet;Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics;;;10.18653/v1/P19-1419;https://aclanthology.org/P19-1419;The non-indexed parts of the Internet (the Darknet) have become a haven for both legal and illegal anonymous activity. Given the magnitude of these networks, scalably monitoring their activity necessarily relies on automated tools, and notably on NLP tools. However, little is known about what characteristics texts communicated through the Darknet have, and how well do off-the-shelf NLP tools do on this domain. This paper tackles this gap and performs an in-depth investigation of the characteristics of legal and illegal text in the Darknet, comparing it to a clear net website with similar content as a control condition. Taking drugs-related websites as a test case, we find that texts for selling legal and illegal drugs have several linguistic characteristics that distinguish them from one another, as well as from the control condition, among them the distribution of POS tags, and the coverage of their named entities in Wikipedia.;2019;;Association for Computational Linguistics;;;No Jargon
conferencePaper;2023;"Human-Centric ART Group, Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Ranaldi, Leonardo; Nourbakhsh, Aria; Human-Centric ART Group, Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Patrizi, Arianna; Human-Centric ART Group, Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Ruzzetti, Elena Sofia; Human-Centric ART Group, Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Onorati, Dario; Department of Computer, Control and Management Engineering, University of Rome ""Sapienza"", Italy; Mastromattei, Michele; Human-Centric ART Group, Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Fallucchi, Francesca; Human-Centric ART Group, Department of Enterprise Engineering, University of Rome Tor Vergata, Italy; Massimo Zanzotto, Fabio; Human-Centric ART Group, Department of Enterprise Engineering, University of Rome Tor Vergata, Italy";The Dark Side of the Language: Pre-trained Transformers in the DarkNet;Proceedings of the Conference Recent Advances in Natural Language Processing - Large Language Models for Natural Language Processings;978-954-452-092-2;;10.26615/978-954-452-092-2_102;https://acl-bg.org/proceedings/2023/RANLP%202023/pdf/2023.ranlp-1.102.pdf;Pre-trained Transformers are challenging human performances in many Natural Language Processing tasks. The massive datasets used for pre-training seem to be the key to their success on existing tasks. In this paper, we explore how a range of pre-trained natural language understanding models performs on definitely unseen sentences provided by classification tasks over a DarkNet corpus. Surprisingly, results show that syntactic and lexical neural networks perform on par with pre-trained Transformers even after fine-tuning. Only after what we call extreme domain adaptation, that is, retraining with the masked language model task on all the novel corpus, pre-trained Transformers reach their standard high results. This suggests that huge pre-training corpora may give Transformers unexpected help since they are exposed to many of the possible sentences.;2023;;INCOMA Ltd., Shoumen, BULGARIA;;;No Jargon
journalArticle;2019;"Al-Nabki, Mhd Wesam; Fidalgo, Eduardo; Alegre, Enrique; Fernández-Robles, Laura";ToRank: Identifying the most influential suspicious domains in the Tor network;Expert Systems with Applications;;09574174;10.1016/j.eswa.2019.01.029;https://linkinghub.elsevier.com/retrieve/pii/S0957417419300296;Abstract The Tor network hosts a significant amount of hidden services related to suspicious activities. Law Enforcement Agencies need to monitor and to investigate crimes hidden behind the anonymity provided by Tor. In this paper, we propose a new algorithm, named ToRank, that ranks hidden services in Tor better than the known algorithms used for the Surface Web. We also thoroughly analyze the content present in Tor, creating a dataset, DUTA-10K, that extends the previous Darknet Usage Text Address (DUTA) dataset. We quantitatively compared ToRank with some of the most popular ranking algorithms, like PageRank, HITS, and Katz. Results showed that our proposal obtains a higher harm to the Tor network robustness than all of them, what indicates its superiority for this problem. The analysis of DUTA-10K reveals that only 20% of the hidden services that can be accessed are related to suspicious activities, and 48% are associated with normal ones. We also discovered that domains related to suspicious activities usually present multiple clones under different addresses, what could be used as an additional feature for identifying them. We consider that our new algorithm, the extended dataset, and the findings obtained from the analysis carried out are helpful for LEAs to fight against crimes that take place in the Tor hidden services.;2019-06;;;;x;
journalArticle;2025;"Ech-Chammakhy, Yasir; Motii, Anas; Rabii, Anass; Azrara, Oussama; Chbili, Jaafar";CyberNER: A Harmonized STIX Corpus for Cybersecurity Named Entity Recognition;2025 IEEE 24th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom);;;10.1109/Trustcom66490.2025.00255;https://ieeexplore.ieee.org/document/11354571/;Extracting structured intelligence via Named Entity Recognition (NER) is critical for cybersecurity, but the proliferation of datasets with incompatible annotation schemas hinders the development of comprehensive models. While combining these resources is desirable, we empirically demonstrate that naively concatenating them results in a noisy label space that severely degrades model performance. To overcome this critical limitation, we introduce CyberNER, a large-scale, unified corpus created by systematically harmonizing four prominent datasets (CyNER, DNRTI, APTNER, and Attacker) onto the STIX 2.1 standard. Our principled methodology resolves semantic ambiguities and consolidates over 50 disparate source tags into 21 coherent entity types. Our experiments show that models trained on CyberNER achieve a substantial performance gain, with a relative F1-score improvement of approximately 30% over the naive concatenation baseline. By publicly releasing the CyberNER corpus, we provide a crucial, standardized benchmark that enables the creation and rigorous comparison of more robust and generalizable entity extraction models for the cybersecurity domain.;14.11.2025;;IEEE;;;No Dark Web
journalArticle;2025;"Makrynioti, Maria; Porlou, Chaido; Kalpazidis, Alexandros; Katsoura, Eleftheria; Alexiadis, Anastasios; Stavropoulos, Georgios; Pantelis, George; Votis, Konstantinos; Tzovaras, Dimitrios";CYBERPATROL: An Intelligent Platform for Monitoring Illicit Online Firearms Trafficking;2025 IEEE International Conference on Big Data (BigData);;;10.1109/BigData66926.2025.11402295;https://ieeexplore.ieee.org/document/11402295/;Illicit firearms trafficking has increasingly shifted to digital ecosystems, where darknet marketplaces, social media platforms, and cryptocurrency transactions enable anonymous trading activities. This evolution presents major challenges for law enforcement agencies (LEAs), requiring advanced analytical tools capable of processing heterogeneous, multimodal, and multilingual data. This paper introduces Cyberpatrol, an AI-driven investigative platform designed to detect and analyse online firearm trafficking activities. Cyberpatrol integrates computer vision, natural language understanding, speech processing, and blockchain analytics into a unified system. It employs Vision Transformers for firearm classification, large language models for data extraction, and XGBoost for cryptocurrency transaction analysis with explainability features, all accessible through an operational dashboard, complemented by reverse image search and PDF highlighting tools. The platform was deployed and evaluated across its multimodal data pipelines, encompassing darknet marketplace extraction, social media analysis, and cryptocurrency tracing. Following this technical deployment, enduser validation with European LEAs provided crucial feedback, confirming both its usability and essential investigative value for disrupting online firearms trafficking.;08.12.2025;;IEEE;;;No Jargon
conferencePaper;2017;"Al Nabki, Mhd Wesam; Fidalgo, Eduardo; Alegre, Enrique; De Paz, Ivan";Classifying Illegal Activities on Tor Network Based on Web Textual Contents;Proceedings of the 15th Conference of the European Chapter of the           Association for Computational Linguistics: Volume 1, Long Papers;;;10.18653/v1/E17-1004;http://aclweb.org/anthology/E17-1004;The freedom of the Deep Web offers a safe place where people can express themselves anonymously but they also can conduct illegal activities. In this paper, we present and make publicly available a new dataset for Darknet active domains, which we call ”Darknet Usage Text Addresses” (DUTA). We built DUTA by sampling the Tor network during two months and manually labeled each address into 26 classes. Using DUTA, we conducted a comparison between two well-known text representation techniques crossed by three different supervised classifiers to categorize the Tor hidden services. We also fixed the pipeline elements and identified the aspects that have a critical influence on the classification results. We found that the combination of TFIDF words representation with Logistic Regression classifier achieves 96.6% of 10 folds cross-validation accuracy and a macro F1 score of 93.7% when classifying a subset of illegal activities from DUTA. The good performance of the classifier might support potential tools to help the authorities in the detection of these activities.;2017;;Association for Computational Linguistics;;x;No Jargon
journalArticle;2016;"Liao, Xiaojing; Yuan, Kan; Wang, XiaoFeng; Li, Zhou; Xing, Luyi; Beyah, Raheem";Acing the IOC Game: Toward Automatic Discovery and Analysis of Open-Source Cyber Threat Intelligence;Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security;;;10.1145/2976749.2978315;https://dl.acm.org/doi/10.1145/2976749.2978315;"To adapt to the rapidly evolving landscape of cyber threats, security professionals are actively exchanging Indicators of Compromise (IOC) (e.g., malware signatures, botnet IPs) through public sources (e.g. blogs, forums, tweets, etc.). Such information, often presented in articles, posts, white papers etc., can be converted into a machine-readable OpenIOC format for automatic analysis and quick deployment to various security mechanisms like an intrusion detection system. With hundreds of thousands of sources in the wild, the IOC data are produced at a high volume and velocity today, which becomes increasingly hard to manage by humans. Efforts to automatically gather such information from unstructured text, however, is impeded by the limitations of today's Natural Language Processing (NLP) techniques, which cannot meet the high standard (in terms of accuracy and coverage) expected from the IOCs that could serve as direct input to a defense system. In this paper, we present iACE, an innovation solution for fully automated IOC extraction. Our approach is based upon the observation that the IOCs in technical articles are often described in a predictable way: being connected to a set of context terms (e.g., ""download"") through stable grammatical relations. Leveraging this observation, iACE is designed to automatically locate a putative IOC token (e.g., a zip file) and its context (e.g., ""malware"", ""download"") within the sentences in a technical article, and further analyze their relations through a novel application of graph mining techniques. Once the grammatical connection between the tokens is found to be in line with the way that the IOC is commonly presented, these tokens are extracted to generate an OpenIOC item that describes not only the indicator (e.g., a malicious zip file) but also its context (e.g., download from an external source). Running on 71,000 articles collected from 45 leading technical blogs, this new approach demonstrates a remarkable performance: it generated 900K OpenIOC items with a precision of 95% and a coverage over 90%, which is way beyond what the state-of-the-art NLP technique and industry IOC tool can achieve, at a speed of thousands of articles per hour. Further, by correlating the IOCs mined from the articles published over a 13-year span, our study sheds new light on the links across hundreds of seemingly unrelated attack instances, particularly their shared infrastructure resources, as well as the impacts of such open-source threat intelligence on security protection and evolution of attack strategies.";24.10.2016;;ACM;;;No Jargon
journalArticle;2024;"Li, Mingfeng; Li, Xin; Hu, Mianning; Yuan, Deyu";Research on a Framework for Chinese Argot Recognition and Interpretation by Integrating Improved MECT Models;Entropy;;1099-4300;10.3390/e26040321;https://www.mdpi.com/1099-4300/26/4/321;In underground industries, practitioners frequently employ argots to communicate discreetly and evade surveillance by investigative agencies. Proposing an innovative approach using word vectors and large language models, we aim to decipher and understand the myriad of argots in these industries, providing crucial technical support for law enforcement to detect and combat illicit activities. Specifically, positional differences in semantic space distinguish argots, and pre-trained language models’ corpora are crucial for interpreting them. Expanding on these concepts, the article assesses the semantic coherence of word vectors in the semantic space based on the concept of information entropy. Simultaneously, we devised a labeled argot dataset, MNGG, and developed an argot recognition framework named CSRMECT, along with an argot interpretation framework called LLMResolve. These frameworks leverage the MECT model, the large language model, prompt engineering, and the DBSCAN clustering algorithm. Experimental results demonstrate that the CSRMECT framework outperforms the current optimal model by 10% in terms of the F1 value for argot recognition on the MNGG dataset, while the LLMResolve framework achieves a 4% higher accuracy in interpretation compared to the current optimal model.The related experiments undertaken also indicate a potential correlation between vector information entropy and model performance.;06.04.2024;;;;x;
journalArticle;2022;"Dalvi, Ashwini; Shah, Vaishnavi; Gandhi, Dhruvin; Shah, Siddharth; Bhirud, S G";Name Entity Recognition (NER) Based Drug Related Page Classification on Dark Web;2022 International Conference on Trends in Quantum Computing and Emerging Business Technologies (TQCEBT);;;10.1109/TQCEBT54229.2022.10041261;https://ieeexplore.ieee.org/document/10041261/;"While researching the dark web marketplaces, it was observed that the drugs’ names varied on different marketplaces. Therefore, the same drug might refer to different names on different dark web marketplaces. For example, some marketplaces use the chemical name or medical name as their product name to ensure the exact product; meanwhile, some marketplaces use the street name as the product name to attract users and get more orders. The present work discussed a NER based method to find if a website on the dark web has mentioned drugs. First, the dark web crawler crawled data from the dark web. Then, the authors introduced the Named Entity Recognition (NER) drug dataset with two categories of drug-named entities: Street name and Chemical name. Further, to identify drug-related web pages comprising street and chemical names of drugs with the NER model employed on scraped data. The proposed NER model was tested with the Drug-NER dataset. The DrugcrossNER project contains a predefined Drug-NER dataset with over 3500 listings from the dark web markets. The proposed work also generates a DRUG entity for the NER model in spaCy, an open-source NLP library in python, as it does not have the in-built ability to classify objects into custom categories.";13.10.2022;;IEEE;;;No Jargon
webpage;;;Dark Net Marketplace Data (Agora 2014-2015);;;;;https://www.kaggle.com/datasets/philipjames11/dark-net-marketplace-drug-data-agora-20142015;;;;;;x;
webpage;;;2018 Slang Terms and Code Words;;;;;https://www.dea.gov/documents/2018/2018-07/2018-07-01/2018-slang-terms-and-code-words;;;;;;x;
;;;;;;;;;;;;;;;
